CompanyName,Symbol,Price
CHETANA EDUCATION LIMITED,CHETANA,₹86.35
CHEVIOT COMPANY LIMITED,CHEVIOT,₹1393.90
CHOICE INTERNATIONAL LTD,CHOICEIN,₹474.00
CHOLAMANDALAM IN & FIN CO,CHOLAFIN,₹1516.25
CHOLAMANDALAM FIN HOL LTD,CHOLAHLDNG,₹2001.30
CIE AUTOMOTIVE INDIA LTD,CIEINDIA,₹566.95
CIGNITI TECHNOLOGIES LTD,CIGNITITEC,₹1384.00
CINELINE INDIA LIMITED,CINELINE,₹117.08
CINEVISTA LIMITED,CINEVISTA,₹20.46
CIPLA LTD,CIPLA,₹1623.00
CLEAN SCIENCE & TECH LTD,CLEAN,₹1584.10
CL EDUCATE LIMITED,CLEDUCATE,₹115.00
CHAMAN LAL SETIA EXP LTD,CLSEL,₹321.95
CROP LIFE SCIENCE LIMITED,CLSL,₹52.10
CHAMAN METALLICS LIMITED,CMNL,₹117.00
CYBER MEDIA RES & SER LTD,CMRSL,₹98.60
CMS INFO SYSTEMS LIMITED,CMSINFO,₹585.05
COAL INDIA LTD,COALINDIA,₹499.60
COASTAL CORPORATION LTD,COASTCORP,₹241.50
COCHIN SHIPYARD LIMITED,COCHINSHIP,₹1670.45
COFFEE DAY ENTERPRISE LTD,COFFEEDAY,₹36.62
COFORGE LIMITED,COFORGE,₹7194.45
COLGATE PALMOLIVE LTD.,COLPAL,₹3840.00
COMMITTED CARGO CARE LTD,COMMITTED,₹54.20
ICICIPRAMC - ICICICOMMO,,₹54.20
COMPUCOM SOFTWARE LTD,COMPUSOFT,₹31.22
COMMERCIAL SYN BAGS LTD,COMSYN,₹66.92
CONTAINER CORP OF IND LTD,CONCOR,₹885.00
CONCORD BIOTECH LIMITED,CONCORDBIO,₹1925.00
CONFIDENCE PETRO IND LTD.,CONFIPET,₹83.20
KOTAKMAMC - KOTAKCONS,,₹83.20
CONSO. FIN. & HOLD. LTD.,CONSOFINVT,₹210.10
NIP IND ETF CONSUMPTION,,₹210.10
ICICIPRAMC - ICICICONSU,,₹210.10
CONTROL PRINT LIMITED,CONTROLPR,₹804.50
COOL CAPS INDUSTRIES LTD,COOLCAPS,₹854.90
